index,features,importance_vals
16,age,0.4519447292201221
19,race_white,0.078390847
15,μ_16,0.068825768
2,μ_3,0.062015525
3,μ_4,0.056930654
9,μ_10,0.05142533
11,μ_12,0.042304767207824626
5,μ_6,0.041286281
6,μ_7,0.037435713
0,μ_1,0.034775763
8,μ_9,0.034146348045323974
7,μ_8,0.032695473
12,μ_13,0.032053895
10,μ_11,0.027823740461899435
18,grade_h,0.025715858
13,μ_14,0.025196868048915348
17,stage_h,0.024449176993221043
14,μ_15,0.021545507
1,μ_2,0.020966233
4,μ_5,0.009339306
