,Frequency
ENSG00000150991,6
ENSG00000177885,4
ENSG00000121879,3
ENSG00000143947,3
ENSG00000100030,2
ENSG00000182866,2
ENSG00000168036,2
ENSG00000170315,2
ENSG00000103275,2
ENSG00000256950,2
ENSG00000213281,2
