,features,importance_vals
276,R-HSA-163560,0.04545018317498034
363,R-HSA-72695,0.04239389269655476
91,R-HSA-420029,0.03894362903782166
395,R-HSA-909733,0.03804587205755525
246,R-HSA-975957,0.035868832470150665
473,R-HSA-68949,0.03550698353297776
99,R-HSA-2219530,0.0348480516608106
507,R-HSA-3232118,0.03398589007294504
527,R-HSA-111447,0.03301343793631531
328,R-HSA-1971475,0.03065709926886484
76,R-HSA-5334118,0.030371219569351526
461,R-HSA-997272,0.029241424457140966
460,R-HSA-1296041,0.029137892179423943
124,R-HSA-381676,0.02846602531702956
285,R-HSA-5365859,0.028358535691222642
59,R-HSA-611105,0.028070355619684052
176,R-HSA-73780,0.027807418846641667
541,R-HSA-392851,0.027785027492209336
48,R-HSA-5693554,0.027223525638110004
455,R-HSA-912526,0.026643774287076667
12,R-HSA-5620912,0.02658950565761188
127,R-HSA-1482788,0.02621143690048484
44,R-HSA-72187,0.026207170139823575
532,R-HSA-202430,0.026025028326548637
165,R-HSA-5578749,0.02594775400517392
348,R-HSA-1461973,0.025423436621931614
39,R-HSA-6783310,0.024984697392210365
469,R-HSA-4608870,0.02441765982483048
410,R-HSA-5693571,0.024152460205950774
488,R-HSA-5655862,0.023945109556661917
412,R-HSA-2029485,0.023485023138200632
404,R-HSA-427359,0.023453400215657894
388,R-HSA-210745,0.02331452327722218
531,R-HSA-432720,0.022964713163673878
511,R-HSA-937041,0.02292828414705582
257,R-HSA-936440,0.02290654038079083
407,R-HSA-977225,0.022804459020262582
202,R-HSA-72165,0.02244129815895576
90,R-HSA-2173791,0.022380189335672186
217,R-HSA-166208,0.02231490245758323
158,R-HSA-110314,0.021817312979255803
50,R-HSA-5693579,0.0217296553630149
151,R-HSA-181429,0.021627898436272518
517,R-HSA-166058,0.02162250991910696
413,R-HSA-2871809,0.021535983576468423
953,hsa.mir.5684,0.021453020181998
506,R-HSA-186763,0.021357836602255702
364,R-HSA-72702,0.021276328780222686
486,R-HSA-110320,0.021160981578868813
149,R-HSA-901032,0.020886355414404534
235,R-HSA-69231,0.020866268528989165
537,R-HSA-202427,0.020755664950120264
448,R-HSA-3301854,0.02066689249360934
471,R-HSA-5658442,0.020619997680187227
226,R-HSA-2122947,0.020486902160919272
575,R-HSA-1251985,0.020240515418845462
299,R-HSA-2467813,0.02022346954472596
104,R-HSA-389357,0.02012573434971273
548,R-HSA-354192,0.020092193388845773
23,R-HSA-917937,0.019910698763560504
300,R-HSA-2559582,0.019754401714308187
115,R-HSA-202040,0.01958325715037063
150,R-HSA-3214841,0.019481694558635354
462,R-HSA-5675221,0.019464502775808797
421,R-HSA-933541,0.019360317958780796
212,R-HSA-917729,0.019255859428230906
297,R-HSA-176409,0.01874041922565084
68,R-HSA-390471,0.018738919802708552
19,R-HSA-382556,0.018626927189761774
545,R-HSA-1963640,0.01855435813078657
56,R-HSA-198933,0.01855121338996014
358,R-HSA-1963642,0.018354649575339863
189,R-HSA-167162,0.0183476472645998
247,R-HSA-3769402,0.01825143096211832
271,R-HSA-201681,0.0182111243205145
390,R-HSA-170822,0.01818028953304747
568,R-HSA-5576886,0.018117012086950126
38,R-HSA-5693616,0.018007316852163058
685,hsa.mir.2115,0.017979102367826273
167,R-HSA-392517,0.017955745608633153
85,R-HSA-6782135,0.01795288076478755
496,R-HSA-156902,0.017927448777481914
119,R-HSA-4086398,0.017921690712246346
252,R-HSA-2408557,0.017755007663217838
262,R-HSA-975956,0.01770482663298026
42,R-HSA-159236,0.017680548279313372
489,R-HSA-5656121,0.017674024372827262
356,R-HSA-264876,0.01760822752607055
494,R-HSA-2453902,0.01746526746028394
133,R-HSA-422085,0.01746409628423862
318,R-HSA-877300,0.017422688333317636
498,R-HSA-192823,0.01735093308860087
178,R-HSA-73980,0.017303208160228678
40,R-HSA-69473,0.017223893316695466
163,R-HSA-180746,0.017202362933312544
268,R-HSA-202433,0.017200828512341105
509,R-HSA-352230,0.017193313754396512
481,R-HSA-5627117,0.01712491564496304
497,R-HSA-1799339,0.016998195605701767
474,R-HSA-69017,0.01694741224986501
141,R-HSA-1169091,0.016887232413864695
564,R-HSA-975577,0.016856458015099635
504,R-HSA-381771,0.01677277209877502
659,hsa.mir.184,0.016663234635634582
337,R-HSA-977606,0.016647214343538507
515,R-HSA-113510,0.01658740170914484
255,R-HSA-5357905,0.016540547235508712
218,R-HSA-380972,0.016506285546493017
239,R-HSA-111465,0.01632116908294847
220,R-HSA-1170546,0.01630960175243672
327,R-HSA-1483191,0.01629844531038543
98,R-HSA-1433557,0.016226158647914418
223,R-HSA-187577,0.0161940497141768
400,R-HSA-201722,0.016090293461456896
467,R-HSA-350562,0.015935659388778733
556,R-HSA-69300,0.015715059090798605
130,R-HSA-1482925,0.01570871776333661
790,hsa.mir.374c,0.015635602251713863
138,R-HSA-2028269,0.015623903890373185
426,R-HSA-4641263,0.015606040382990613
350,R-HSA-114508,0.015605772502021864
166,R-HSA-6784531,0.015546422776533292
24,R-HSA-163210,0.015492754164879443
447,R-HSA-180910,0.015396628419402987
518,R-HSA-1538133,0.015364313687459798
360,R-HSA-156827,0.015339727113605477
442,R-HSA-2691232,0.015314952019543852
5,R-HSA-2565942,0.015267136034726719
576,R-HSA-5339716,0.015250546807237697
441,R-HSA-2122948,0.015221366711193696
415,R-HSA-5218921,0.015180527723568957
140,R-HSA-6799198,0.015168040239732363
58,R-HSA-5628897,0.015141034456610214
172,R-HSA-427413,0.015120913303690031
561,R-HSA-5223345,0.015091347589332145
95,R-HSA-114604,0.015069145251763984
417,R-HSA-1855204,0.01501435244397726
366,R-HSA-5362517,0.014985356361430604
111,R-HSA-5621575,0.014982228768931237
902,hsa.mir.4802,0.014809429553934024
278,R-HSA-193368,0.014723517902457389
174,R-HSA-73772,0.014715768888127059
179,R-HSA-749476,0.01467496199416928
825,hsa.mir.4442,0.014642428651750378
78,R-HSA-2559586,0.014349003830575384
678,hsa.mir.205,0.014291050203319174
430,R-HSA-166016,0.014164815642870962
386,R-HSA-5655302,0.014085555795500113
173,R-HSA-73762,0.014046213290130253
267,R-HSA-3772470,0.01398663664040214
452,R-HSA-162710,0.013830267234443454
61,R-HSA-1433559,0.013797407809033758
