index,features,importance_vals
16,age,0.591727676
18,stage_ii,0.429972664
17,stage_i,0.391480982
4,Z_5,0.195633366
1,Z_2,0.1706416
9,Z_10,0.16218999
7,Z_8,0.159464299
0,Z_1,0.158280694
8,Z_9,0.144797613
12,Z_13,0.089642188
14,Z_15,0.077854653
3,Z_4,0.067947054
13,Z_14,0.067298743
5,Z_6,0.061404481
15,Z_16,0.053019013
11,Z_12,0.049787281
10,Z_11,0.045219178
6,Z_7,0.043971756
2,Z_3,0.037076431
19,race_white,0.021614212
