,features,importance_vals
276,R-HSA-163560,0.12890052841692523
425,R-HSA-3000178,0.04172885491978377
246,R-HSA-975957,0.03853342053480446
55,R-HSA-5617472,0.03243174153845757
156,R-HSA-1445148,0.030495978897670285
113,R-HSA-416482,0.02891283766934066
135,R-HSA-975634,0.028624720124062152
507,R-HSA-3232118,0.028610828116070477
3,R-HSA-418555,0.02836126261507161
532,R-HSA-202430,0.02771943322411971
548,R-HSA-354192,0.027294268396217375
369,R-HSA-5654219,0.027048426595283673
461,R-HSA-997272,0.027005962547991657
294,R-HSA-174184,0.026996996111702174
479,R-HSA-156711,0.02695785748772323
331,R-HSA-3560801,0.026573532603797502
247,R-HSA-3769402,0.026372508350177667
489,R-HSA-5656121,0.02591262060137524
252,R-HSA-2408557,0.025670589946676047
147,R-HSA-5362768,0.024978293339372612
269,R-HSA-2029482,0.02491947209695354
448,R-HSA-3301854,0.02488833918236196
538,R-HSA-389948,0.024338664351962507
471,R-HSA-5658442,0.024086405072448542
310,R-HSA-1660662,0.023920375825837253
297,R-HSA-176409,0.02337791312020272
12,R-HSA-5620912,0.02299455321102869
503,R-HSA-1660661,0.022983501817798242
76,R-HSA-5334118,0.02268308019381948
334,R-HSA-140837,0.02266786366410088
550,R-HSA-372708,0.022600243954220788
277,R-HSA-70895,0.022526578911347316
463,R-HSA-1236978,0.022026938561466522
51,R-HSA-912446,0.021857821180019527
433,R-HSA-1592389,0.02182564664282836
289,R-HSA-141430,0.02174210480618058
115,R-HSA-202040,0.021562470168282742
474,R-HSA-69017,0.021378240720805478
315,R-HSA-5576894,0.0213193874305216
363,R-HSA-72695,0.021313683548942208
460,R-HSA-1296041,0.021210905025945977
80,R-HSA-2682334,0.021068206182098946
234,R-HSA-5684264,0.020519153539207764
118,R-HSA-418597,0.02035627395613119
64,R-HSA-5654727,0.020034341052523816
213,R-HSA-2132295,0.019917718459619208
117,R-HSA-400042,0.019906829083774936
401,R-HSA-2299718,0.01987013219157234
355,R-HSA-1566948,0.019672561114202836
566,R-HSA-428540,0.019612828809185884
32,R-HSA-936837,0.019088575886562466
171,R-HSA-1834949,0.018908440678515034
48,R-HSA-5693554,0.018855085513787343
364,R-HSA-72702,0.018813141739519777
0,R-HSA-1989781,0.018782031764385466
519,R-HSA-390522,0.01875391480512917
572,R-HSA-3000480,0.018690898677596123
227,R-HSA-2644606,0.018648639316961636
564,R-HSA-975577,0.018648508027545176
455,R-HSA-912526,0.018639622827759012
513,R-HSA-2024096,0.018469888180261476
523,R-HSA-380320,0.018250822877744214
352,R-HSA-3000171,0.018021702114347136
534,R-HSA-5218920,0.018011205273214728
325,R-HSA-5663220,0.018004836875479668
552,R-HSA-156588,0.017957351563454724
544,R-HSA-373076,0.017796993241354357
407,R-HSA-977225,0.01762108182767406
46,R-HSA-1268020,0.01760474156806595
38,R-HSA-5693616,0.017512010768114122
203,R-HSA-72203,0.017316119335591792
229,R-HSA-2894862,0.0172721226233989
138,R-HSA-2028269,0.01726879585767165
267,R-HSA-3772470,0.017227375506190582
353,R-HSA-4641258,0.017178695386828622
123,R-HSA-114608,0.01662492947834835
506,R-HSA-186763,0.016601552084612194
305,R-HSA-2559580,0.01651923689118121
268,R-HSA-202433,0.016484895579051227
248,R-HSA-2022854,0.016442085567396136
63,R-HSA-5654726,0.016382582308433483
201,R-HSA-72086,0.01634850062429905
495,R-HSA-159418,0.0162006215256406
678,hsa.mir.205,0.016163446371065218
99,R-HSA-2219530,0.016066593484574697
88,R-HSA-202733,0.01591495468193898
547,R-HSA-5683826,0.015901545463129878
166,R-HSA-6784531,0.015881975600495934
199,R-HSA-5601884,0.015861265230341814
374,R-HSA-5654693,0.015800232155888806
71,R-HSA-450385,0.01574318962171674
335,R-HSA-140875,0.015709996742079967
298,R-HSA-176412,0.015589912782888859
365,R-HSA-72706,0.015589368221262702
251,R-HSA-606279,0.01555924246669747
761,hsa.mir.33b,0.015533734565251507
404,R-HSA-427359,0.01531309838173911
577,R-HSA-5358747,0.015292801936157048
421,R-HSA-933541,0.015263703509699553
481,R-HSA-5627117,0.01519504411611706
661,hsa.mir.187,0.015179381235939218
336,R-HSA-2022090,0.015177186199143761
323,R-HSA-69656,0.015149585264443885
366,R-HSA-5362517,0.015061452630907296
501,R-HSA-437239,0.0150126232864568
440,R-HSA-3295583,0.014976935965241864
468,R-HSA-450408,0.014973644795827568
132,R-HSA-381340,0.0148434764664853
19,R-HSA-382556,0.014817498836200683
134,R-HSA-452723,0.014654864121694118
133,R-HSA-422085,0.014621420826661052
494,R-HSA-2453902,0.014454855035874061
442,R-HSA-2691232,0.014435264856147115
484,R-HSA-5625900,0.014399570446985309
511,R-HSA-937041,0.014399044573656284
68,R-HSA-390471,0.014373282112646848
198,R-HSA-168325,0.014262857282010372
17,R-HSA-422356,0.014259985887183574
375,R-HSA-5654695,0.014234525855863467
271,R-HSA-201681,0.014165969454843434
496,R-HSA-156902,0.013953858200111427
34,R-HSA-1912420,0.013928629590664059
316,R-HSA-399719,0.013821060521622712
453,R-HSA-392451,0.013769349845024408
295,R-HSA-176407,0.013766550048603676
378,R-HSA-5655253,0.013687330066750292
