,features,importance_vals
395,R-HSA-909733,0.026419625176349656
325,R-HSA-5663220,0.021928837941377424
177,R-HSA-73863,0.019901738315820695
363,R-HSA-72695,0.01950010710512288
218,R-HSA-380972,0.019184644223678333
318,R-HSA-877300,0.01874167521193158
506,R-HSA-186763,0.018643159003113398
361,R-HSA-72649,0.018115238038008102
50,R-HSA-5693579,0.01753760999473798
490,R-HSA-5656169,0.016928347172797658
524,R-HSA-389957,0.01641829368978506
170,R-HSA-3214815,0.015731205915799365
235,R-HSA-69231,0.015266767337307101
486,R-HSA-110320,0.01491232111788122
532,R-HSA-202430,0.014779323824041058
613,hsa.mir.1254.2,0.014735474640328903
213,R-HSA-2132295,0.014667511204897891
612,hsa.mir.1254.1,0.014035702371329535
266,R-HSA-2672351,0.01344527015258791
437,R-HSA-5205685,0.013409436587826349
99,R-HSA-2219530,0.01332447743297962
255,R-HSA-5357905,0.01332297888235189
826,hsa.mir.4443,0.01307978389226264
445,R-HSA-445144,0.01302590984647395
403,R-HSA-3247509,0.012778026803134708
226,R-HSA-2122947,0.012482296981324907
268,R-HSA-202433,0.012456531448406168
172,R-HSA-427413,0.012442009410442552
493,R-HSA-68962,0.01242809510207735
462,R-HSA-5675221,0.012228594430889644
489,R-HSA-5656121,0.012180286719158176
1008,hsa.mir.658,0.012175236458715518
286,R-HSA-193807,0.012056913995038485
276,R-HSA-163560,0.011860079409816536
64,R-HSA-5654727,0.011775392603885848
720,hsa.mir.3130.1,0.011740636396862101
999,hsa.mir.6511b.1,0.011733743162767495
1000,hsa.mir.6511b.2,0.011722722325794166
321,R-HSA-5694530,0.011715330566075863
374,R-HSA-5654693,0.011674311327951728
365,R-HSA-72706,0.011516393115161918
1088,hsa.mir.93,0.011414240695157786
372,R-HSA-5654688,0.011412364669376984
421,R-HSA-933541,0.01135602052178001
262,R-HSA-975956,0.011309078070771647
360,R-HSA-156827,0.011283967370400206
117,R-HSA-400042,0.011236483703250998
1080,hsa.mir.877,0.011222958596626996
820,hsa.mir.4326,0.011194520484714303
162,R-HSA-1655829,0.011171693962533027
1054,hsa.mir.6854,0.011032489475692273
56,R-HSA-198933,0.010957475072027592
551,R-HSA-450302,0.010665682481230761
603,hsa.mir.1229,0.010624583466124023
53,R-HSA-2172127,0.010496831384953111
17,R-HSA-422356,0.010494652676279657
555,R-HSA-69298,0.010434635349083692
520,R-HSA-5674400,0.01040169241528929
304,R-HSA-1912408,0.01037437626218889
394,R-HSA-379726,0.010365503594803158
220,R-HSA-1170546,0.01036355562042445
357,R-HSA-1250196,0.010338938432978466
429,R-HSA-75109,0.010322056540535413
336,R-HSA-2022090,0.010307492862339132
47,R-HSA-5685942,0.010306883231387474
387,R-HSA-449147,0.010262514896021457
879,hsa.mir.4742,0.010246966018748936
182,R-HSA-76071,0.010175937988824444
163,R-HSA-180746,0.010170638664858416
481,R-HSA-5627117,0.010155052817426622
123,R-HSA-114608,0.010128255307208747
1067,hsa.mir.6895,0.010126587545964866
1033,hsa.mir.6783,0.010079902768775356
518,R-HSA-1538133,0.010071884479511937
103,R-HSA-375165,0.009990342909877653
1074,hsa.mir.767,0.009983210047066678
808,hsa.mir.3926.2,0.009844929378159577
963,hsa.mir.5703,0.009798607619595714
761,hsa.mir.33b,0.00974020838875731
328,R-HSA-1971475,0.009726489020686131
721,hsa.mir.3130.2,0.00965908633224899
569,R-HSA-5099900,0.009658983939443715
119,R-HSA-4086398,0.009579229656810639
252,R-HSA-2408557,0.009541908653154678
590,hsa.mir.105.1,0.009536339548430988
987,hsa.mir.639,0.009517244361632038
159,R-HSA-5696394,0.0095107518977602
642,hsa.mir.147b,0.009472388700814918
204,R-HSA-73776,0.009470061243628152
864,hsa.mir.4668,0.00945414276473457
836,hsa.mir.449a,0.009450297529692762
466,R-HSA-349425,0.009447432142935667
349,R-HSA-1461957,0.00935282278656814
179,R-HSA-749476,0.009342295468086377
496,R-HSA-156902,0.009291261892503826
32,R-HSA-936837,0.009282418956863693
6,R-HSA-380259,0.009277186635154066
704,hsa.mir.29c,0.009247000136892893
925,hsa.mir.5091,0.009239595851395279
679,hsa.mir.20a,0.009227083866862813
341,R-HSA-211976,0.009153900933742989
430,R-HSA-166016,0.009124684396956581
591,hsa.mir.105.2,0.009102511244709604
487,R-HSA-5651801,0.009062283782332087
41,R-HSA-109688,0.009019154568072736
1,R-HSA-418594,0.008907534494210268
451,R-HSA-75876,0.008901142814720516
747,hsa.mir.3200,0.008833956109119754
246,R-HSA-975957,0.0087553003829089
760,hsa.mir.33a,0.008712977973955276
12,R-HSA-5620912,0.00866965103254188
253,R-HSA-2032785,0.008620954761863687
89,R-HSA-216083,0.008588302022544667
377,R-HSA-5654700,0.008519413832609644
409,R-HSA-171306,0.008505362991127186
198,R-HSA-168325,0.008480735132689005
178,R-HSA-73980,0.008418608790670988
814,hsa.mir.411,0.008403690338782325
217,R-HSA-166208,0.00838779374025762
367,R-HSA-109704,0.008385027586464276
323,R-HSA-69656,0.008344035743393761
1058,hsa.mir.6874,0.008316324657935184
516,R-HSA-69205,0.008306403590831906
698,hsa.mir.27a,0.00830423584857641
996,hsa.mir.6509,0.008292258572182618
