,features,importance_vals
368,R-HSA-2033519,0.0054326708572625644
163,R-HSA-180746,0.005415834225386789
384,R-HSA-5654719,0.005386812175202067
514,R-HSA-3000170,0.005380925515273702
221,R-HSA-174113,0.005324572678509867
224,R-HSA-195253,0.005315748681023251
542,R-HSA-418217,0.005213725322246319
167,R-HSA-392517,0.00518163473957884
347,R-HSA-430039,0.0051714732633990936
554,R-HSA-68867,0.005136056882934667
128,R-HSA-1482801,0.005121709142113105
447,R-HSA-180910,0.005082372954493621
64,R-HSA-5654727,0.005015461300718016
295,R-HSA-176407,0.005006735100614605
255,R-HSA-5357905,0.005002923203937826
320,R-HSA-204005,0.004988236594726914
58,R-HSA-5628897,0.0049392801980866355
520,R-HSA-5674400,0.004895631186427636
572,R-HSA-3000480,0.004860557343522487
146,R-HSA-5358346,0.004858834340120665
118,R-HSA-418597,0.004856955020295572
424,R-HSA-3000157,0.004850300972138939
437,R-HSA-5205685,0.004844091786217177
559,R-HSA-186797,0.0048426601896289865
268,R-HSA-202433,0.004842119353124872
154,R-HSA-212676,0.004813102042371611
462,R-HSA-5675221,0.0047947104780732275
317,R-HSA-3371571,0.004784157749927544
237,R-HSA-445989,0.004760311489371815
466,R-HSA-349425,0.0047532057753414845
328,R-HSA-1971475,0.004737957897013985
665,hsa.mir.190b,0.004737034286863491
296,R-HSA-176408,0.004735796362256224
92,R-HSA-375276,0.004734600314404816
411,R-HSA-139853,0.0046956424382369735
503,R-HSA-1660661,0.004688163652608637
377,R-HSA-5654700,0.004660934743133112
399,R-HSA-1266695,0.004660209577414207
485,R-HSA-110312,0.004607523430677247
549,R-HSA-354194,0.004607439497631276
953,hsa.mir.5684,0.004602230227028485
472,R-HSA-68827,0.00458004606058239
175,R-HSA-73777,0.004579705013748025
314,R-HSA-5576892,0.004566158248053398
344,R-HSA-5368286,0.004552455552911851
481,R-HSA-5627117,0.004534912436138256
43,R-HSA-72163,0.004520018101029564
97,R-HSA-1257604,0.004507924965582788
551,R-HSA-450302,0.004482190945273032
449,R-HSA-4570464,0.004474260951683391
363,R-HSA-72695,0.004438260974866353
432,R-HSA-166663,0.004434335955302231
412,R-HSA-2029485,0.004432103092549369
51,R-HSA-912446,0.004430626053363085
385,R-HSA-5654720,0.004418682858522515
973,hsa.mir.592,0.004379640071929316
370,R-HSA-5654221,0.00435872082154674
304,R-HSA-1912408,0.004351394621498912
216,R-HSA-165159,0.004333618182427017
25,R-HSA-1222556,0.004323921751201851
302,R-HSA-6807878,0.004313697584002511
23,R-HSA-917937,0.004308583126548911
443,R-HSA-2979096,0.004306143812646042
143,R-HSA-499943,0.0043020170385716485
10,R-HSA-442982,0.0042888288671383635
264,R-HSA-1660516,0.004280191076686606
148,R-HSA-5678895,0.00426676471492101
952,hsa.mir.5683,0.004243421785504325
444,R-HSA-419037,0.004238518284109887
324,R-HSA-2500257,0.0042319182124992945
174,R-HSA-73772,0.004223031926485419
55,R-HSA-5617472,0.004216512721613981
518,R-HSA-1538133,0.004206852513052581
250,R-HSA-977068,0.0041388752209604715
555,R-HSA-69298,0.0040876797222881575
422,R-HSA-70614,0.004064223422860777
102,R-HSA-373753,0.004055130237829872
927,hsa.mir.511,0.00403363530524075
73,R-HSA-450604,0.004012306911681663
21,R-HSA-2142691,0.004009377068214235
509,R-HSA-352230,0.0039945385832561445
246,R-HSA-975957,0.003979331776863546
396,R-HSA-2514859,0.003966573428460834
61,R-HSA-1433559,0.003941266382043978
471,R-HSA-5658442,0.003909605319640832
141,R-HSA-1169091,0.003901476544851903
119,R-HSA-4086398,0.0038564255752135067
180,R-HSA-76061,0.003850235702993814
820,hsa.mir.4326,0.003848328585154377
158,R-HSA-110314,0.0038431939051952213
6,R-HSA-380259,0.0038086875124281505
22,R-HSA-1369062,0.003808313471963629
393,R-HSA-416993,0.0037845332473716554
176,R-HSA-73780,0.003771283069390847
494,R-HSA-2453902,0.0037610142241464926
228,R-HSA-2871837,0.0037571077718166635
523,R-HSA-380320,0.003740237866368261
364,R-HSA-72702,0.0037030875220079905
79,R-HSA-3214847,0.003693748803343624
910,hsa.mir.497,0.0036807983124163
193,R-HSA-167242,0.0036787842828198336
280,R-HSA-163615,0.0036660901372670197
204,R-HSA-73776,0.003630928368438617
941,hsa.mir.548q,0.003610827695229091
870,hsa.mir.4707,0.003600664636469446
571,R-HSA-373752,0.003598186654271558
366,R-HSA-5362517,0.0035921693115960806
563,R-HSA-156590,0.0035759288564440796
