,features,importance_vals
56,R-HSA-198933,0.04520837817457504
532,R-HSA-202430,0.03781669021118432
538,R-HSA-389948,0.03571242584614083
268,R-HSA-202433,0.034138188922224796
430,R-HSA-166016,0.033348264006199314
1,R-HSA-418594,0.03001650939504543
105,R-HSA-389513,0.022913683149017743
257,R-HSA-936440,0.022476849607774057
412,R-HSA-2029485,0.021377046210109257
537,R-HSA-202427,0.020998218114254997
33,R-HSA-210991,0.019313037124811673
126,R-HSA-5674135,0.018931767671601846
95,R-HSA-114604,0.018243527876620647
104,R-HSA-389357,0.017979148342856206
53,R-HSA-2172127,0.017746485598909203
355,R-HSA-1566948,0.01733954074952635
52,R-HSA-380108,0.017288330191076964
421,R-HSA-933541,0.017029072776495013
349,R-HSA-1461957,0.01701317306389683
542,R-HSA-418217,0.01690745134066674
117,R-HSA-400042,0.01685049352538044
99,R-HSA-2219530,0.01638358041353058
123,R-HSA-114608,0.016351986948866398
236,R-HSA-1810476,0.015976376108592375
148,R-HSA-5678895,0.01491174090479035
318,R-HSA-877300,0.014545972531050212
400,R-HSA-201722,0.01430169804561956
473,R-HSA-68949,0.014170684987620917
150,R-HSA-3214841,0.013894396126270294
213,R-HSA-2132295,0.013268584389006719
490,R-HSA-5656169,0.013051185249933041
476,R-HSA-69481,0.013029149204085115
431,R-HSA-1236974,0.012871872145915404
34,R-HSA-1912420,0.012681828296626918
329,R-HSA-2022870,0.01267348335357383
413,R-HSA-2871809,0.012292217665235512
297,R-HSA-176409,0.01210790198045288
290,R-HSA-174048,0.012084614026825875
5,R-HSA-2565942,0.01206665480072843
111,R-HSA-5621575,0.012026517193371547
149,R-HSA-901032,0.011843888091680127
418,R-HSA-381426,0.011702161097928184
452,R-HSA-162710,0.011592922938725679
311,R-HSA-2129379,0.011536970800952985
387,R-HSA-449147,0.01152678272796038
270,R-HSA-5663213,0.01132399469759548
132,R-HSA-381340,0.011276079099043273
321,R-HSA-5694530,0.01124034273714642
395,R-HSA-909733,0.01120241054566577
494,R-HSA-2453902,0.011162042093346827
116,R-HSA-392170,0.010962762042399845
19,R-HSA-382556,0.01088146670081187
6,R-HSA-380259,0.01078347421338549
342,R-HSA-2162123,0.010777775633323472
544,R-HSA-373076,0.010714786979806377
113,R-HSA-416482,0.010685894313355674
11,R-HSA-5576893,0.010518703082489082
159,R-HSA-5696394,0.010407920928655586
550,R-HSA-372708,0.010388046291773208
61,R-HSA-1433559,0.01026316529023461
319,R-HSA-1650814,0.010233661348574969
560,R-HSA-3299685,0.010223743620299501
503,R-HSA-1660661,0.00985430672444636
415,R-HSA-5218921,0.009686028670985251
130,R-HSA-1482925,0.009646882801607717
540,R-HSA-428930,0.009550341917420156
411,R-HSA-139853,0.00950460722160642
92,R-HSA-375276,0.009468108518631198
25,R-HSA-1222556,0.009439874249947024
122,R-HSA-5632684,0.009420344464306254
4,R-HSA-1442490,0.00939694103966758
14,R-HSA-1474228,0.009334883193077985
106,R-HSA-3928662,0.009320127062674146
563,R-HSA-156590,0.009293273026123643
512,R-HSA-937072,0.009270952267106622
20,R-HSA-196741,0.009255071656079963
454,R-HSA-512988,0.009229930612491444
249,R-HSA-4085001,0.009039355097338558
432,R-HSA-166663,0.008989197042537853
258,R-HSA-5669034,0.00891992419226881
97,R-HSA-1257604,0.008765682641533204
348,R-HSA-1461973,0.008707867696866742
409,R-HSA-171306,0.008637411817999237
102,R-HSA-373753,0.008606574658333557
30,R-HSA-2022377,0.008538595466816332
414,R-HSA-418457,0.008442485409614165
248,R-HSA-2022854,0.008433752272612765
420,R-HSA-912694,0.00835471928381594
86,R-HSA-6782210,0.008344479747174774
206,R-HSA-75953,0.008337089728956925
569,R-HSA-5099900,0.008285207597655244
539,R-HSA-391160,0.008283585947865504
168,R-HSA-5607761,0.008079918442599593
347,R-HSA-430039,0.008033681032029562
571,R-HSA-373752,0.00801140071329428
299,R-HSA-2467813,0.007932784742151852
100,R-HSA-2424491,0.007923210846493021
517,R-HSA-166058,0.007897273174021393
497,R-HSA-1799339,0.007888172406237572
79,R-HSA-3214847,0.007724604890536284
59,R-HSA-611105,0.007720750882581342
567,R-HSA-416700,0.007487399008241482
378,R-HSA-5655253,0.00745724564185366
390,R-HSA-170822,0.007434329098105081
112,R-HSA-75892,0.007396379166166298
314,R-HSA-5576892,0.007367395945530006
131,R-HSA-1483166,0.007262756370182615
519,R-HSA-390522,0.007210528062714729
46,R-HSA-1268020,0.00719800341539667
282,R-HSA-432040,0.007194602484523784
133,R-HSA-422085,0.007112750255673745
399,R-HSA-1266695,0.0070842114469269295
292,R-HSA-174154,0.007082311069971183
259,R-HSA-5668541,0.007037007401959272
38,R-HSA-5693616,0.006871455889631761
328,R-HSA-1971475,0.006810697246692143
495,R-HSA-159418,0.006759918691823259
43,R-HSA-72163,0.006729035356256645
324,R-HSA-2500257,0.0067055461090058084
356,R-HSA-264876,0.006697823884896934
302,R-HSA-6807878,0.006691667854902335
189,R-HSA-167162,0.006663560959859751
502,R-HSA-168928,0.006631940074110787
546,R-HSA-210993,0.006624982405101037
350,R-HSA-114508,0.006623408415907761
98,R-HSA-1433557,0.006583285823871847
389,R-HSA-5423646,0.006568561324820621
523,R-HSA-380320,0.006494359079442802
89,R-HSA-216083,0.006451556872925721
361,R-HSA-72649,0.00644857333303662
110,R-HSA-4420097,0.0064468197763198985
323,R-HSA-69656,0.006424931081273826
93,R-HSA-416476,0.006387742456972774
291,R-HSA-174084,0.006386618780088611
474,R-HSA-69017,0.006323760079249041
96,R-HSA-1227986,0.006309049526826129
566,R-HSA-428540,0.006308852801666944
425,R-HSA-3000178,0.006283762293460313
484,R-HSA-5625900,0.006273660094593652
459,R-HSA-1296072,0.006253020249059773
330,R-HSA-3560783,0.0061878836125106315
154,R-HSA-212676,0.006170459752320312
451,R-HSA-75876,0.006163061893748818
195,R-HSA-167246,0.006148775236506481
385,R-HSA-5654720,0.006122719635022804
382,R-HSA-5654710,0.006110785172204487
103,R-HSA-375165,0.006103155043383594
516,R-HSA-69205,0.00608769112790469
511,R-HSA-937041,0.006007898898169515
444,R-HSA-419037,0.00597321296318114
335,R-HSA-140875,0.0059603638188127665
136,R-HSA-4419969,0.005948929085861892
320,R-HSA-204005,0.005931495255044866
559,R-HSA-186797,0.005905361715704203
142,R-HSA-179409,0.005862917734193615
300,R-HSA-2559582,0.005814392918837257
127,R-HSA-1482788,0.005808425752038601
483,R-HSA-416572,0.005769360914418939
448,R-HSA-3301854,0.005747839982032019
514,R-HSA-3000170,0.00572545648610685
118,R-HSA-418597,0.0056370993400923905
568,R-HSA-5576886,0.00562978481510072
176,R-HSA-73780,0.00560497409227537
65,R-HSA-5654732,0.00558794959099032
556,R-HSA-69300,0.005580364448978799
146,R-HSA-5358346,0.005576287775365927
204,R-HSA-73776,0.0055654792955465385
296,R-HSA-176408,0.0055546769930515435
173,R-HSA-73762,0.005548575920402072
138,R-HSA-2028269,0.005508125598134938
317,R-HSA-3371571,0.005419000575930113
352,R-HSA-3000171,0.005378934028412914
199,R-HSA-5601884,0.0053742228889313995
401,R-HSA-2299718,0.0053619876165612364
339,R-HSA-211981,0.005338384890492307
325,R-HSA-5663220,0.005290556123363785
277,R-HSA-70895,0.0052814223397581374
489,R-HSA-5656121,0.0052039581916324094
336,R-HSA-2022090,0.005198357038607355
15,R-HSA-5173214,0.005185049298252125
365,R-HSA-72706,0.005160736258258112
446,R-HSA-168276,0.005141105900929688
510,R-HSA-936964,0.0051406964083435015
310,R-HSA-1660662,0.0050879505392367715
313,R-HSA-418990,0.005070520225708606
269,R-HSA-2029482,0.005046869612488081
338,R-HSA-5620916,0.005039329924693447
467,R-HSA-350562,0.00503624354427302
216,R-HSA-165159,0.005015775312640472
94,R-HSA-456926,0.00497904322706745
815,hsa.mir.412,0.004970256637097919
281,R-HSA-164378,0.004959977466787677
16,R-HSA-389977,0.004943714773689862
155,R-HSA-264642,0.004902784934620286
434,R-HSA-2151201,0.004899408775672782
892,hsa.mir.4777,0.004898332186057814
28,R-HSA-917977,0.004875973902344412
120,R-HSA-5610785,0.004867493473248032
235,R-HSA-69231,0.004862732443943969
364,R-HSA-72702,0.004843751986045391
119,R-HSA-4086398,0.004822165533551015
308,R-HSA-1368082,0.0048034877417376266
481,R-HSA-5627117,0.00479416583843431
147,R-HSA-5362768,0.004793510160307051
463,R-HSA-1236978,0.004769912380515962
455,R-HSA-912526,0.004756564810631972
423,R-HSA-70268,0.004734951019891014
124,R-HSA-381676,0.004707640804845141
492,R-HSA-5696400,0.004690485161991092
68,R-HSA-390471,0.0046777950023169975
78,R-HSA-2559586,0.004637456481577829
217,R-HSA-166208,0.004629678852506913
107,R-HSA-3928664,0.004557808444951661
785,hsa.mir.3682,0.00453517954320887
509,R-HSA-352230,0.00452489654533565
351,R-HSA-196757,0.0045145965739357054
207,R-HSA-75955,0.004465200244776497
577,R-HSA-5358747,0.004450038823124487
145,R-HSA-6782315,0.00444493411341682
402,R-HSA-3214842,0.004403638913790928
220,R-HSA-1170546,0.004392656648706179
156,R-HSA-1445148,0.004375032810312405
505,R-HSA-1839117,0.004365547001943923
278,R-HSA-193368,0.004346712045371532
426,R-HSA-4641263,0.004344727973430054
304,R-HSA-1912408,0.004342799388141429
367,R-HSA-109704,0.004340422371024033
202,R-HSA-72165,0.004329301171237603
500,R-HSA-198753,0.004307105098705506
162,R-HSA-1655829,0.004301708337588934
58,R-HSA-5628897,0.004291757376267924
23,R-HSA-917937,0.004272122302427306
458,R-HSA-432142,0.004265026009015856
407,R-HSA-977225,0.00425216429750435
953,hsa.mir.5684,0.004221329201536719
450,R-HSA-4615885,0.004211932294790586
486,R-HSA-110320,0.004198705595554202
469,R-HSA-4608870,0.004185444793984061
862,hsa.mir.4664,0.004179977704479825
574,R-HSA-3322077,0.004175334536121227
286,R-HSA-193807,0.004168186135539145
741,hsa.mir.3191,0.004166749147261725
487,R-HSA-5651801,0.004161937578828656
57,R-HSA-983695,0.004129517062247032
251,R-HSA-606279,0.004118858305009781
470,R-HSA-4641257,0.00411601520710974
87,R-HSA-5693565,0.004110003797977697
264,R-HSA-1660516,0.004090740163810551
529,R-HSA-446652,0.004060044055513572
541,R-HSA-392851,0.0040507395761233056
272,R-HSA-3238698,0.004021119778190041
475,R-HSA-69229,0.004020006475620903
228,R-HSA-2871837,0.004005384116135246
40,R-HSA-69473,0.004002403470149147
443,R-HSA-2979096,0.003988110182035598
39,R-HSA-6783310,0.003985798889480066
910,hsa.mir.497,0.003977906443251414
613,hsa.mir.1254.2,0.00394462270400254
287,R-HSA-70171,0.0039283674993203024
576,R-HSA-5339716,0.003926965698302638
71,R-HSA-450385,0.0039095686699147335
801,hsa.mir.3912,0.0039092415054756205
369,R-HSA-5654219,0.0039092146555776705
491,R-HSA-5696397,0.003878658665926196
22,R-HSA-1369062,0.0038674631262983895
457,R-HSA-418592,0.003836057476582937
1080,hsa.mir.877,0.003824943819023474
