,features,importance_vals
315,R-HSA-5576894,0.020820278520695866
80,R-HSA-2682334,0.017866867006523533
575,R-HSA-1251985,0.016058172335615382
31,R-HSA-5578775,0.014912871500710025
247,R-HSA-3769402,0.013793393623782322
17,R-HSA-422356,0.013745248273480684
33,R-HSA-210991,0.013615491050877608
92,R-HSA-375276,0.013254785887475008
301,R-HSA-445095,0.013149847836757544
311,R-HSA-2129379,0.01252530909201596
277,R-HSA-70895,0.012520828156266362
298,R-HSA-176412,0.012385019741486758
290,R-HSA-174048,0.012375108074265881
38,R-HSA-5693616,0.012301440188894048
444,R-HSA-419037,0.012231401103781537
400,R-HSA-201722,0.01189372893248219
235,R-HSA-69231,0.01173583062714897
387,R-HSA-449147,0.011700124830240384
113,R-HSA-416482,0.011695748099009506
325,R-HSA-5663220,0.011588826396910008
336,R-HSA-2022090,0.011566322669386864
149,R-HSA-901032,0.011397776658996009
479,R-HSA-156711,0.011103392723452999
440,R-HSA-3295583,0.011026708283170593
570,R-HSA-140534,0.010883118769852445
365,R-HSA-72706,0.010684580556917353
529,R-HSA-446652,0.0104750877803599
515,R-HSA-113510,0.010357554096262902
527,R-HSA-111447,0.010333074415975717
396,R-HSA-2514859,0.010276342658908106
124,R-HSA-381676,0.010248054390322068
417,R-HSA-1855204,0.010171798718729405
91,R-HSA-420029,0.010154096011683577
60,R-HSA-1236382,0.010040848889620974
110,R-HSA-4420097,0.009931531601105235
122,R-HSA-5632684,0.009924437414410932
227,R-HSA-2644606,0.00992322278296342
309,R-HSA-1368108,0.009916641964227892
430,R-HSA-166016,0.009845408921828494
416,R-HSA-1660499,0.009843953984964173
81,R-HSA-3928663,0.009787277907598764
568,R-HSA-5576886,0.009760678094899049
62,R-HSA-182971,0.009650473732690443
425,R-HSA-3000178,0.009564408572332468
429,R-HSA-75109,0.009553072202252225
320,R-HSA-204005,0.00946538775897352
121,R-HSA-5610787,0.009413162745331646
524,R-HSA-389957,0.009368817484937609
137,R-HSA-983231,0.009368595821724739
11,R-HSA-5576893,0.009292842508311878
517,R-HSA-166058,0.009103624618146568
447,R-HSA-180910,0.009073271252855192
436,R-HSA-383280,0.009070663174206857
259,R-HSA-5668541,0.009025121937011136
330,R-HSA-3560783,0.009024145865696482
154,R-HSA-212676,0.008967637452296912
561,R-HSA-5223345,0.00893106204632204
470,R-HSA-4641257,0.008917020135559141
323,R-HSA-69656,0.008751680468703853
567,R-HSA-416700,0.008638270430383272
95,R-HSA-114604,0.008605374164762907
286,R-HSA-193807,0.008555127771251137
536,R-HSA-75105,0.008540281895839143
109,R-HSA-399956,0.008531770615954884
268,R-HSA-202433,0.00852511792705627
532,R-HSA-202430,0.00849309635857935
48,R-HSA-5693554,0.008485167637991254
541,R-HSA-392851,0.008447422342360369
565,R-HSA-191273,0.008424614558462053
89,R-HSA-216083,0.008403143778559751
404,R-HSA-427359,0.008383548307901946
519,R-HSA-390522,0.008330420053680428
482,R-HSA-5627123,0.008282459920883412
141,R-HSA-1169091,0.008281969126546756
327,R-HSA-1483191,0.008278815460507759
310,R-HSA-1660662,0.00824987433385104
338,R-HSA-5620916,0.008227800283129909
563,R-HSA-156590,0.00822171956198872
251,R-HSA-606279,0.008041425682604313
297,R-HSA-176409,0.008017095789546147
120,R-HSA-5610785,0.007962138273287565
378,R-HSA-5655253,0.007945898068519454
462,R-HSA-5675221,0.007863766821537865
70,R-HSA-380994,0.007848355830356013
160,R-HSA-5696395,0.00783350045361658
266,R-HSA-2672351,0.007770651142927818
333,R-HSA-6788467,0.00769946065194631
106,R-HSA-3928662,0.007669490652624518
34,R-HSA-1912420,0.007603326621283486
445,R-HSA-445144,0.00756082424079068
534,R-HSA-5218920,0.007411683200989501
296,R-HSA-176408,0.007406030222118716
84,R-HSA-6781827,0.007395680939080194
473,R-HSA-68949,0.007361983772352687
217,R-HSA-166208,0.007338373293750919
377,R-HSA-5654700,0.007281018575886264
455,R-HSA-912526,0.007235496221692301
525,R-HSA-389960,0.007233303985267412
138,R-HSA-2028269,0.007229926200234331
537,R-HSA-202427,0.00715829311258858
418,R-HSA-381426,0.0071412556536961345
326,R-HSA-68877,0.0071148768732746245
439,R-HSA-450321,0.007095570584449433
306,R-HSA-2559585,0.007084553599624997
179,R-HSA-749476,0.007063635733211413
303,R-HSA-445355,0.00705466810206417
234,R-HSA-5684264,0.006924664573743939
45,R-HSA-375170,0.006907487017015228
134,R-HSA-452723,0.006896088363391755
173,R-HSA-73762,0.0068906303892435974
93,R-HSA-416476,0.006879936747864122
273,R-HSA-373080,0.0068106899093254465
246,R-HSA-975957,0.006777840424183524
398,R-HSA-983170,0.0067405717002111485
319,R-HSA-1650814,0.006724325194263656
177,R-HSA-73863,0.006705680924496847
544,R-HSA-373076,0.006675391535754898
420,R-HSA-912694,0.006641401961678639
386,R-HSA-5655302,0.006628438661778091
56,R-HSA-198933,0.0066258459386335745
240,R-HSA-400206,0.006614754391484894
135,R-HSA-975634,0.006567631115030963
117,R-HSA-400042,0.006538643729873002
143,R-HSA-499943,0.006500405451079132
346,R-HSA-5419276,0.00649992464321258
206,R-HSA-75953,0.006446045389020582
504,R-HSA-381771,0.006423099190433277
52,R-HSA-380108,0.006402239461094723
213,R-HSA-2132295,0.0063838053707149815
352,R-HSA-3000171,0.0063757623279889234
437,R-HSA-5205685,0.006355654349899851
129,R-HSA-1482839,0.006344462160814146
412,R-HSA-2029485,0.006313415081094718
203,R-HSA-72203,0.006292419524979778
314,R-HSA-5576892,0.006255140537032276
201,R-HSA-72086,0.006222103757027071
7,R-HSA-380270,0.006215718698913406
538,R-HSA-389948,0.006206571291550063
25,R-HSA-1222556,0.0061780981723131845
211,R-HSA-1632852,0.006089854718302376
5,R-HSA-2565942,0.006089223013768788
142,R-HSA-179409,0.006070066682295874
224,R-HSA-195253,0.006044578095388715
12,R-HSA-5620912,0.006023522970808699
294,R-HSA-174184,0.00601115847764845
46,R-HSA-1268020,0.005960271485273552
50,R-HSA-5693579,0.005942933427741081
167,R-HSA-392517,0.00593782801181078
457,R-HSA-418592,0.005891953219979769
88,R-HSA-202733,0.005865554958290886
28,R-HSA-917977,0.005848898876574821
90,R-HSA-2173791,0.005833226121976623
403,R-HSA-3247509,0.00580305816794862
285,R-HSA-5365859,0.005729555394354975
555,R-HSA-69298,0.005728386425471399
187,R-HSA-167160,0.00572100862453226
200,R-HSA-674695,0.005704404558055103
255,R-HSA-5357905,0.005703205413883552
139,R-HSA-2022928,0.005685317426541587
487,R-HSA-5651801,0.005674397280563426
218,R-HSA-380972,0.005663421649733209
426,R-HSA-4641263,0.005647943226213101
321,R-HSA-5694530,0.0055952865374274555
304,R-HSA-1912408,0.005590784408632317
362,R-HSA-72689,0.0055720339110121135
342,R-HSA-2162123,0.005564205514674541
510,R-HSA-936964,0.0055516379492473785
192,R-HSA-167238,0.005547490220778855
79,R-HSA-3214847,0.005527280859241728
511,R-HSA-937041,0.005525491489752312
228,R-HSA-2871837,0.0054799595927397604
451,R-HSA-75876,0.005437612286405056
232,R-HSA-5610780,0.005384514900215436
284,R-HSA-379716,0.005378633739601355
245,R-HSA-201451,0.005370514643072965
317,R-HSA-3371571,0.005367313185306557
506,R-HSA-186763,0.005363536080112681
249,R-HSA-4085001,0.005341267485691787
344,R-HSA-5368286,0.005282924370362707
97,R-HSA-1257604,0.005222198007977567
248,R-HSA-2022854,0.0052160684521368236
209,R-HSA-77075,0.0052107595247071
512,R-HSA-937072,0.005196361123016686
59,R-HSA-611105,0.005155864016633132
528,R-HSA-5673000,0.005147726024640633
464,R-HSA-180585,0.00509531694377074
29,R-HSA-983712,0.005041286566483905
64,R-HSA-5654727,0.005023334583120232
566,R-HSA-428540,0.004993561318551656
332,R-HSA-4420332,0.004973857860240969
289,R-HSA-141430,0.004959497461204592
57,R-HSA-983695,0.0049454624842474
1089,hsa.mir.934,0.004903419202637451
526,R-HSA-5617833,0.004876978952852369
119,R-HSA-4086398,0.004866568023280706
144,R-HSA-3108214,0.0048456728318706154
78,R-HSA-2559586,0.004836171735369135
98,R-HSA-1433557,0.004827978201938095
204,R-HSA-73776,0.0048249037322239015
471,R-HSA-5658442,0.004822944127809024
559,R-HSA-186797,0.004790048369541182
26,R-HSA-381038,0.004771503037045477
458,R-HSA-432142,0.004765782078156917
221,R-HSA-174113,0.0047592010958396715
427,R-HSA-5620922,0.004758708427252714
22,R-HSA-1369062,0.004749389571952633
63,R-HSA-5654726,0.004748837801071204
449,R-HSA-4570464,0.004727332264592405
735,hsa.mir.3174,0.004714133713132469
76,R-HSA-5334118,0.004682865405047778
956,hsa.mir.5691,0.0046378088327765
166,R-HSA-6784531,0.004629881209402811
308,R-HSA-1368082,0.0046143853829562435
125,R-HSA-5626467,0.0046116896506282505
202,R-HSA-72165,0.004592759174392995
690,hsa.mir.224,0.0045922310874811955
19,R-HSA-382556,0.004571439894843934
208,R-HSA-76042,0.004555737210394
32,R-HSA-936837,0.004549740634538466
539,R-HSA-391160,0.004541421054163948
279,R-HSA-163359,0.004527902699701372
229,R-HSA-2894862,0.004504883134359261
456,R-HSA-1482922,0.004497684878806467
287,R-HSA-70171,0.004452054669964127
176,R-HSA-73780,0.0044259128245175815
324,R-HSA-2500257,0.004407464715113747
53,R-HSA-2172127,0.0043990866686726806
363,R-HSA-72695,0.004336840557589312
516,R-HSA-69205,0.004336651412013452
547,R-HSA-5683826,0.0043210843016277065
23,R-HSA-917937,0.004289663336094236
14,R-HSA-1474228,0.0042871854516852185
